case_id,model_id,display_name,runtime_ms,mean,std,entropy,spread_1_99,high_frequency_share,mean_gradient,clipped_pixel_ratio
tun,retinexnet,RetinexNet,4174.9612000000025,151.92009099324545,44.68952981073816,7.302158965919482,192.0,0.14022754165359466,26.179816102238505,0.04891204833984375
page,retinexnet,RetinexNet,9094.5258,186.56502083333334,44.68314293872612,7.0422079074349595,230.0,0.08153306578890579,22.85131695386266,0.02620497311827957
seat,retinexnet,RetinexNet,12075.6468,149.90015520833333,39.90144796580166,7.314180685074777,177.0,0.35077223758488385,37.48010977161201,0.00026822916666666667
pillar,retinexnet,RetinexNet,11086.574599999998,181.2009109375,23.48728614199662,6.465783152153897,106.0,0.22994486358288688,16.375261422590317,1.4583333333333333e-05
markers,retinexnet,RetinexNet,11149.065399999998,148.15889166666668,29.865323438115713,6.760553148911661,162.0,0.21783930156859638,23.300318192378665,0.013225
cardboard,retinexnet,RetinexNet,10914.54929999999,184.99691875,38.20935983561573,6.719090182939643,201.0,0.10097172758967263,14.73444315761886,0.0004692708333333333
carpet,retinexnet,RetinexNet,11178.967700000001,163.72846927083333,32.796449974943194,6.717550941447786,136.0,0.0775951027950643,13.942859935675575,0.0349890625
writing,retinexnet,RetinexNet,11120.44089999999,184.21187239583332,27.399145025141156,6.560080258800519,126.0,0.007490511017873239,2.051701314556695,2.34375e-05
