case_id,model_id,display_name,runtime_ms,mean,std,entropy,spread_1_99,high_frequency_share,mean_gradient,clipped_pixel_ratio
tun,zerodcepp,Zero-DCE++,287.33249999999975,113.52919260660808,63.88971685287529,7.722539906467963,240.0,0.030285760412902315,19.215696231135617,0.049953460693359375
page,zerodcepp,Zero-DCE++,282.67559999999924,183.45739112903226,44.6560339553783,7.082133033893495,238.0,0.05512545937341373,18.58344644960253,0.02838239247311828
seat,zerodcepp,Zero-DCE++,296.6350999999996,144.76168541666667,50.96436261939353,7.591105287620933,200.0,0.13736934894273656,29.643506986101556,0.00694375
pillar,zerodcepp,Zero-DCE++,397.32829999999984,159.2180609375,37.81626346216712,7.084249416073385,145.0,0.046668954616402275,11.83451405671008,0.00023333333333333333
markers,zerodcepp,Zero-DCE++,255.94639999999913,148.17404010416666,36.02955408903422,7.088262649013613,180.0,0.09460309843174566,19.114780872551627,0.0165171875
cardboard,zerodcepp,Zero-DCE++,261.7282000000003,169.75402083333333,53.4996089790966,7.085904437786784,212.0,0.029839577546210107,10.689605292725318,0.0011489583333333334
carpet,zerodcepp,Zero-DCE++,274.8255999999998,166.31471614583333,34.6494931585353,6.879057899112512,145.0,0.039741438110909036,10.898547960637629,0.044145833333333336
writing,zerodcepp,Zero-DCE++,271.2275999999996,164.98734010416666,43.601734897607045,7.121213517371333,190.0,0.0025831068374069298,1.5526228750086961,0.00010989583333333333
