method_id,display_name,family,tile_size,clip_limit,avg_synthetic_mse,avg_synthetic_psnr,avg_synthetic_ssim,avg_synthetic_runtime_ms,avg_entropy,avg_spread_1_99,avg_high_frequency_share,avg_mean_gradient,avg_clipped_pixel_ratio,avg_hard_runtime_ms
ahe_t16,AHE 16x16,ahe,16,,5186.384460449219,10.984481149012089,0.3476141124065948,92.45040000000415,7.934221613549082,248.875,0.3298912589790922,71.34403966030439,0.04485700995332451,2010.8043249999987
ahe_t32,AHE 32x32,ahe,32,,4461.019790649414,11.638303507232976,0.4230985623738517,79.7116750000022,7.918773435799988,248.25,0.2930144110099114,63.85356053804058,0.03618133084697109,1022.0782999999986
ahe_t64,AHE 64x64,ahe,64,,3187.950469970703,13.100987305145937,0.5371920592673792,32.719874999997955,7.8663220665533675,246.25,0.2574826927309507,56.24360045679549,0.030383299435851392,846.6279375000028
clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,1597.5190467834473,16.149708791546978,0.8654537879311993,132.13340000000784,7.587126984075534,242.75,0.06390418663225521,23.30031851730559,0.047922445965838695,2817.460587500001
clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,1293.7414741516113,17.01797056645907,0.6144333653092171,83.89919999999762,7.78204576984773,242.25,0.20029555631203141,45.43698661136421,0.025729539317469442,2475.001287500003
clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1329.484935760498,16.989968322995836,0.8539285011732299,40.61677499999661,7.603697677636313,234.625,0.1014801455957259,27.68969383790436,0.01910527298629925,1021.8874874999991
clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1773.6577644348145,15.702084710418575,0.6048518650276753,30.288325000000782,7.787583526723671,237.375,0.2021637951395062,45.95484944293878,0.02144860565841839,1037.5241250000008
clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,1350.6445503234863,17.012014834015577,0.8573900497399638,32.587949999978605,7.586249608941017,231.0,0.10336419386628037,27.459225777584685,0.016196032550770748,760.6384125000005
clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,1935.9411926269531,15.334457779042957,0.6385064221124938,34.56400000000315,7.788792215149058,236.25,0.19016554300742122,44.04071027837483,0.0193623163448867,846.547000000001
clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,1807.6809692382812,15.60474010845942,0.7822589261331296,64.73922499998253,7.508975989478025,249.375,0.12148590019469505,34.326932115621716,0.08823006578671036,2016.0943750000158
