case_id,method_id,display_name,family,tile_size,clip_limit,runtime_ms,mean,std,entropy,spread_1_99,high_frequency_share,mean_gradient,clipped_pixel_ratio
carpet,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2705.841000000021,116.63877447916667,60.11013371285464,7.702162128714623,235.0,0.20644572770799086,45.939540095136216,0.04006041666666667
writing,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2534.1185999999993,136.36136979166668,65.87544106745702,7.748887202696775,238.0,0.004756988424064977,5.884307621281926,0.010721354166666667
tun,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,405.76129999999466,76.82667922973633,69.76542114376026,7.451784966508603,250.0,0.04381807003756955,23.098366725735485,0.055347442626953125
page,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,818.9944000000082,147.995623655914,52.854932943792235,7.675828162845326,244.0,0.07786629178970142,31.551222203031067,0.02038172043010753
seat,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,838.7309999999957,94.94026302083333,67.83245241596497,7.764314076435452,243.0,0.3076338142960972,57.666471562248304,0.013073958333333333
pillar,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1050.5212999999856,92.52376458333333,62.37796894098839,7.493140862592417,218.0,0.12286212525048067,30.97019948535022,0.0010604166666666668
markers,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1050.707100000011,95.26028489583334,52.64649337604389,7.527598019660459,235.0,0.14513237394439693,33.74643168300447,0.015183854166666667
cardboard,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1382.1393000000057,132.89274791666668,57.189018505440536,7.706300375461066,221.0,0.04045671895637773,17.22008174927313,0.003553125
carpet,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1443.139599999995,98.9924203125,58.38757013435455,7.553576855401271,241.0,0.0721472396256923,24.599870606710066,0.038971875
writing,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,1185.1058999999964,123.7393171875,63.83377245980714,7.657038102185906,225.0,0.0019245308654913485,2.6649066878821546,0.0052697916666666665
tun,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,536.6571999999792,104.20863215128581,70.91708412462728,7.839460768325239,248.0,0.08088599018679314,34.91762662287252,0.03598785400390625
page,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1199.060299999985,136.147875,64.13207849317955,7.927836208405408,247.0,0.18056052181636167,55.863848640661026,0.026319220430107527
seat,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,893.9513000000261,106.61481302083334,72.79601400096423,7.891180674537278,246.0,0.403121812595355,74.86430087400221,0.026704166666666668
pillar,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1080.5906999999877,94.48499791666667,64.31846193567466,7.586197018206225,239.0,0.3051279280780575,53.316518035724734,0.012602083333333333
markers,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1111.5942000000132,119.22570052083333,66.51913909579503,7.940379361918936,248.0,0.32631541623905286,64.74114439597895,0.028370833333333335
cardboard,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1318.9090999999848,133.74476510416667,56.618266187560415,7.772337733330463,232.0,0.11078500813141814,31.640147141636877,0.007876041666666667
carpet,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1027.8688999999872,113.78737135416667,61.53438638101576,7.757399979250298,236.0,0.20305274805731663,46.40159010675995,0.033278645833333335
writing,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,1131.561300000044,125.06853333333333,54.2199569371422,7.585876469815519,203.0,0.0074609360116945035,5.8936197258739575,0.00045
tun,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,308.5859000000255,77.9551264444987,69.90081079666973,7.490845115485346,250.0,0.04112135246847962,22.517987230764803,0.046839396158854164
page,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,953.370399999983,144.16005376344086,52.27196753310569,7.666367617284419,242.0,0.07913935932498961,31.140941857598797,0.01704032258064516
seat,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,1195.3730000000178,93.42406666666666,67.40551038277377,7.752376441968139,239.0,0.319490625704733,58.13272063825371,0.010748958333333333
pillar,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,684.1747000000282,90.6519328125,61.11262955740399,7.473452780901983,216.0,0.12729874278338915,30.80200187297804,0.000859375
markers,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,656.6687999999772,94.37350572916667,52.42777103063902,7.528154180066975,235.0,0.14388361421444953,33.32553959856369,0.013380729166666668
cardboard,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,633.061400000031,128.26529583333334,54.660110506847815,7.616470244913181,213.0,0.04275958139508429,16.890411663777982,0.003415625
carpet,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,738.2073999999648,97.887190625,58.09939739076395,7.571180640528432,240.0,0.0711969459036109,24.288655644181183,0.03310885416666667
writing,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,915.6656999999768,120.01148645833334,59.63580359267918,7.591149850379665,213.0,0.002023329135506764,2.5755477145592827,0.004175
tun,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,327.4529000000257,106.72944768269856,70.34794123888052,7.853408796274678,248.0,0.0693724402947961,31.980534496032437,0.031742095947265625
page,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,657.1059000000332,132.39886290322582,64.18832097440672,7.925436927215286,246.0,0.17432806401958165,54.3334929055005,0.024426747311827958
seat,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,845.453300000031,107.99455208333333,72.18050982394907,7.902679949866217,246.0,0.39284357080910914,72.84398132398408,0.0230421875
pillar,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,1345.5625999999938,95.90740885416666,63.26555048715069,7.636901948688738,238.0,0.2777179006438658,50.37040930921333,0.0119765625
markers,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,835.583999999983,119.6931296875,67.13546698255307,7.948699661841219,249.0,0.3105829459427134,63.455770326384965,0.029832291666666667
cardboard,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,834.6404999999777,129.75622916666666,56.74836246489834,7.7650178211482395,232.0,0.10536600258980157,30.42927632732739,0.0073416666666666665
carpet,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,773.0826999999749,115.12710416666667,61.346843709130475,7.771820473214001,237.0,0.18274183080217102,43.45370771796921,0.026165104166666668
writing,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,1153.494099999989,122.32551510416667,49.264492176375114,7.50637214294408,194.0,0.008371588957331262,5.458509820586778,0.000371875
tun,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,969.0231000000153,72.22274653116862,75.54434795815872,7.161782035256795,255.0,0.069844426849693,28.274988601918277,0.1470947265625
page,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,1663.6454000000072,166.36736088709677,63.88921286972506,7.3242143399093,255.0,0.09408571614717154,37.252307423990096,0.1581364247311828
seat,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,2069.886600000018,97.73264166666667,78.7064152718078,7.622700371823964,255.0,0.3576092045431072,71.21331069759944,0.11119583333333333
pillar,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,2158.8341000000355,107.46515833333333,82.00550577689847,7.381292671898965,244.0,0.10787733820243026,36.76757117837165,0.0757453125
markers,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,2270.1519000000303,102.67250208333333,62.04724332707764,7.671667145112018,246.0,0.19165670837671195,44.41084602143597,0.042759375
cardboard,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,2718.799900000022,142.02139739583333,66.78471333606677,7.714089348150554,255.0,0.060563743480367666,22.41860028196578,0.06345104166666667
carpet,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,1764.8098999999888,111.5205203125,70.21601430110829,7.508476089534774,245.0,0.08684845690640589,30.91238265306502,0.09148489583333333
writing,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,2513.604100000009,120.87221354166667,66.37607807345003,7.687585914137829,240.0,0.003401607051672927,3.365450066627544,0.015972916666666667
