case_id,method_id,display_name,runtime_ms,mean,std,entropy,spread_1_99,high_frequency_share,mean_gradient,clipped_pixel_ratio
tun,hsi_homomorphic_color,HSI Homomorphic Color,1041.4312,103.9538091023763,51.32302796850924,7.489896413420508,229.0,0.4413353331227809,48.679739851752466,0.013427734375
page,hsi_homomorphic_color,HSI Homomorphic Color,2409.1246,150.91316330645162,48.060342604867635,7.01534090533718,243.0,0.1948127803862703,32.1772516850401,0.054879032258064515
seat,hsi_homomorphic_color,HSI Homomorphic Color,2838.9369,98.88864166666667,64.68356010021606,7.75564439782379,245.0,0.7949630639951394,91.38555810949558,0.055290104166666666
pillar,hsi_homomorphic_color,HSI Homomorphic Color,2771.1071999999995,116.84853072916667,52.409410735310615,7.222042534767021,245.0,0.6904781248256849,60.9407834921731,0.057094270833333335
markers,hsi_homomorphic_color,HSI Homomorphic Color,2737.7460000000015,105.7196171875,58.8026840600491,7.730369724701375,232.0,0.7513066164779438,88.10473401942443,0.044813541666666665
cardboard,hsi_homomorphic_color,HSI Homomorphic Color,2663.398000000001,113.74862083333333,41.659823848618224,6.955541043352357,238.0,0.3977909921478365,32.39274055555567,0.033265625
carpet,hsi_homomorphic_color,HSI Homomorphic Color,2706.8648999999996,117.39481510416667,44.9804565511996,7.369926799730823,233.0,0.6828685615770924,57.04653770956421,0.017163020833333334
writing,hsi_homomorphic_color,HSI Homomorphic Color,2653.6358999999975,154.99344166666666,44.37356885847998,7.132526606956149,182.0,0.05514968915422167,8.713051441716573,0.0079265625
